10 3.986004415000000000e+14 6.378136300000000000e+06
0 0 1.000000000000000000e+00 0.000000000000000000e+00
1 0 0.000000000000000000e+00 0.000000000000000000e+00
1 1 0.000000000000000000e+00 0.000000000000000000e+00
2 0 -4.841653717359999977e-04 0.000000000000000000e+00
2 1 -1.869876359550000023e-10 1.195280120309999944e-09
2 2 2.439143523979999846e-06 -1.400166836539999949e-06
3 0 9.572541737919999682e-07 0.000000000000000000e+00
3 1 2.029988821840000078e-06 2.485131587159999818e-07
3 2 9.046277686049999774e-07 -6.190259442049999817e-07
3 3 7.210726570570000109e-07 1.414356269579999920e-06
4 0 5.398738637890000335e-07 0.000000000000000000e+00
4 1 -5.363216169710000438e-07 -4.734402658530000211e-07
4 2 3.506941057850000002e-07 6.626715725400000496e-07
4 3 9.907718038290000388e-07 -2.009283691770000011e-07
4 4 -1.885608027349999888e-07 3.088531693330000155e-07
5 0 6.853234756300000553e-08 0.000000000000000000e+00
5 1 -6.210121285279999367e-08 -9.442261275250000054e-08
5 2 6.524382976120000458e-07 -3.233496126680000028e-07
5 3 -4.519554060709999856e-07 -2.148471906240000062e-07
5 4 -2.953016476540000111e-07 4.966588767689999716e-08
5 5 1.749719832030000001e-07 -6.693842782189999811e-07
6 0 -1.499579947139999940e-07 0.000000000000000000e+00
6 1 -7.608793849469999710e-08 2.628905455010000088e-08
6 2 4.817324428320000222e-08 -3.737282013470000015e-07
6 3 5.717309905159999674e-08 9.026945171630000682e-09
6 4 -8.621426601089999620e-08 -4.714081542670000161e-07
6 5 -2.671333254900000118e-07 -5.364884324830000355e-07
6 6 9.676161210920000229e-09 -2.371920069350000114e-07
7 0 9.097893714500000347e-08 0.000000000000000000e+00
7 1 2.798729104879999788e-07 9.543369118669999482e-08
7 2 3.297438164879999922e-07 9.306675960420000456e-08
7 3 2.503986577060000202e-07 -2.171986087380000000e-07
7 4 -2.751143552570000152e-07 -1.238003923230000029e-07
7 5 1.937655072430000076e-09 1.773777198719999861e-08
7 6 -3.588568606449999890e-07 1.517898177389999920e-07
7 7 1.091851480449999989e-09 2.444157079930000032e-08
8 0 4.967116673240000327e-08 0.000000000000000000e+00
8 1 2.334220478929999917e-08 5.900604934110000060e-08
8 2 8.029787226150000279e-08 6.541754258589999871e-08
8 3 -1.918777570090000142e-08 -8.634544450210000082e-08
8 4 -2.446001054709999928e-07 7.002330169340000163e-08
8 5 -2.553524030370000091e-08 8.914621647879999702e-08
8 6 -6.573616109610000608e-08 3.092384618070000103e-07
8 7 6.728115800720000123e-08 7.474404736329999736e-08
8 8 -1.240924930159999879e-07 1.205331656030000033e-07
9 0 2.767143008530000116e-08 0.000000000000000000e+00
9 1 1.433875027490000075e-07 2.168349476180000049e-08
9 2 2.222883185639999920e-08 -3.221966471160000105e-08
9 3 -1.608115021430000108e-07 -7.422874094619999692e-08
9 4 -9.001792253360000293e-09 1.946667794749999942e-08
9 5 -1.661650929240000011e-08 -5.411131914829999720e-08
9 6 6.269419382480000404e-08 2.229035259450000032e-07
9 7 -1.183663234750000060e-07 -9.651526678859999534e-08
9 8 1.884360227940000104e-07 -3.085662204209999990e-09
9 9 -4.774753861320000293e-08 9.664128477139999514e-08
10 0 5.262224885690000026e-08 0.000000000000000000e+00
10 1 8.351157756519999347e-08 -1.313143317959999964e-07
10 2 -9.424138820810000199e-08 -5.157916573900000057e-08
10 3 -6.898950481760000163e-09 -1.537688286939999978e-07
10 4 -8.407645497160000507e-08 -7.928062553309999458e-08
10 5 -4.933959381849999696e-08 -5.053702218970000157e-08
10 6 -3.758852365979999698e-08 -7.956670538720000448e-08
10 7 8.114605409250000288e-09 -3.366296413140000126e-09
10 8 4.049279816939999764e-08 -9.187059759219999786e-08
10 9 1.254913349389999887e-07 -3.765162223919999718e-08
10 10 1.005386344090000034e-07 -2.401484495199999998e-08
