10 1.0000000000000000e+00 1.0000000000000000e+00
0 0 -2.2867625950975200e-02 0.0000000000000000e+00
1 0 3.2957256322601182e-03 0.0000000000000000e+00
2 0 -5.8956060420154166e-03 0.0000000000000000e+00
3 0 -2.4110233292399001e-03 0.0000000000000000e+00
4 0 -2.4392544062999330e-05 0.0000000000000000e+00
5 0 2.7202943418573415e-04 0.0000000000000000e+00
6 0 1.3119511009382482e-03 0.0000000000000000e+00
7 0 1.4729476947073987e-03 0.0000000000000000e+00
8 0 1.0728428275289144e-04 0.0000000000000000e+00
9 0 -1.1021600661846177e-03 0.0000000000000000e+00
10 0 6.0006222317888439e-04 0.0000000000000000e+00
1 1 1.0215962220302455e-02 2.5154086226946738e-04
2 1 2.7076036397784362e-03 -1.4351117374085051e-04
3 1 4.3838296719499962e-04 -9.0987250473171025e-04
4 1 -2.2807896239633975e-04 -4.0715513512116141e-03
5 1 5.5451720003206321e-04 1.4330062939905746e-03
6 1 -1.5409769812338133e-04 2.4255581998043896e-03
7 1 1.5858589503504484e-03 -7.4465465456938652e-04
8 1 1.6724570266684577e-04 -9.2571644052432344e-04
9 1 -3.8418967980012684e-04 -9.8456389701989102e-04
10 1 2.0718163379539133e-04 -2.2985432588826487e-04
2 2 -1.9416301094704466e-03 1.0441868267984668e-04
3 2 4.7508393776511445e-03 1.6373337366444138e-03
4 2 2.1607255370330509e-04 -2.6118180603721753e-03
5 2 4.5768189287212664e-04 -1.5860615382166257e-03
6 2 -9.8413845896838442e-04 1.7671215312727734e-03
7 2 -4.0074258814173903e-04 1.5595390122565135e-03
8 2 5.2116000610037759e-04 5.7369110394196103e-04
9 2 -1.2875635848384182e-03 -1.0020693432850878e-03
10 2 -4.6897731727509246e-04 4.8875280712343564e-04
3 3 -4.4266404491676726e-03 6.9336748085481741e-04
4 3 -1.0357345348482546e-03 8.7201687831371189e-04
5 3 2.4705098266202567e-03 -1.7292311545260399e-03
6 3 1.6930238225650704e-03 -9.2868396960410515e-04
7 3 1.2580539391183533e-04 -1.7822120710354540e-03
8 3 2.5288531540559975e-04 -8.1338736287944172e-04
9 3 6.5430925948828703e-04 -2.1822776154369191e-04
10 3 -4.6957482287416800e-04 1.0083908931891841e-03
4 4 -3.2963144792323763e-03 1.0445504581975637e-03
5 4 6.8182412117703253e-04 -2.2518019992508688e-04
6 4 1.3106391349439854e-03 -2.2538046238816949e-04
7 4 8.8265080295823301e-04 -5.3758630130895429e-04
8 4 5.3546243733289289e-04 1.8631984718957739e-04
9 4 -1.0610841824377884e-04 -1.5774325486165564e-03
10 4 3.9230801954220695e-04 -1.3083240612796220e-03
5 5 -2.2317043411787881e-03 -2.0634077361941785e-04
6 5 2.9268734104870619e-03 6.2081691969900722e-04
7 5 1.1441534298731373e-03 -4.5209528055110238e-05
8 5 -4.5849247053229457e-04 -3.3567496600438396e-04
9 5 1.5488320917517915e-03 3.6286077833318686e-05
10 5 2.8628497007277741e-04 -2.0255608834504326e-03
6 6 2.4758312589057228e-04 6.1379261429712136e-04
7 6 4.2228916590236858e-03 -5.3109024800427750e-04
8 6 -8.3466819283028776e-04 -4.0796787539720087e-04
9 6 -3.4495440582564801e-04 -9.8065183806751331e-05
10 6 6.7641035398897486e-04 -5.4893058834998396e-04
7 7 1.9836212966713256e-03 1.4849513235461688e-03
8 7 2.1173616566644076e-03 -8.0442950995734128e-04
9 7 -1.2118833293135126e-04 4.4606792548807552e-04
10 7 -1.2647982411508100e-03 -7.5938505198604905e-04
8 8 1.8615363222560086e-03 1.5253304457286395e-04
9 8 1.4934608160498158e-04 -2.4204059207400111e-04
10 8 -5.2505891637682264e-04 -1.2364847879787447e-04
9 9 1.2186355343749099e-04 -3.6270780691517631e-04
10 9 3.1598199378987766e-04 -6.4023490900767008e-04
10 10 -5.6050147909799601e-04 -3.9485740736379141e-05
